,level_0,index_x,song_id,name,index_y,energy,valence
0,0,0,6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid",0,0.917,0.601
1,1,0,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,0,0.446,0.278
2,2,0,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,0,0.912,0.72
3,3,0,4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,0,0.943,0.766
4,4,0,6L89mwZXSOwYl76YXfX13s,Basket Case,0,0.943,0.781
5,5,0,1FkoVC85Ds3mFoK0fVqEqP,Self Esteem,0,0.862,0.706
6,6,0,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,0,0.881,0.364
7,7,0,1qYcHo4wiesUC2VIRch45G,(Can't Get My) Head Around You,0,0.814,0.646
8,8,0,0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,0,0.987,0.316
9,9,0,7EZC6E7UjZe63f1jRmkWxt,Zombie,0,0.649,0.312
10,10,0,5BnFZLH99sYav2cxJFGO2n,Gone Away - 1997,0,0.945,0.294
11,11,0,7j31rVgGX9Q2blT92VBEA0,Teenagers,0,0.857,0.856
12,12,0,6hwQ69v7VbPhTTR2fOtYX7,Want You Bad,0,0.966,0.614
13,13,0,5cZqsjVs6MevCnAkasbEOX,Break Stuff,0,0.884,0.624
14,14,0,3SFXsFpeGmBTtQvKiwYMDA,Pretty Fly (For A White Guy),0,0.895,0.963
15,15,0,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,0,0.897,0.684
16,16,0,5JJDu0Z5DKe7mR31MGksSg,Come Out and Play,0,0.77,0.921
17,17,0,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,0,0.934,0.287
18,18,0,3lfmqF0ULXRHlWxBeaHo3t,Hit That,0,0.809,0.962
19,19,0,6eN1f9KNmiWEhpE2RhQqB5,Paradise City,0,0.98,0.395
20,20,0,7xm8RWCCBYvEVx1VyErDa3,Half-Truism,0,0.918,0.402
21,21,0,5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,0,0.89,0.692
22,22,0,717oSBYrcR8awQgUsmyE32,All I Want,0,0.973,0.565
23,23,0,6GG73Jik4jUlQCkKg9JuGO,The Middle,0,0.849,0.903
24,24,0,0O2UONKvVfdwDyefKh5Yo1,Let The Bad Times Roll,0,0.976,0.603
25,25,0,0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,0,0.967,0.596
26,26,0,0sNKiz82ATCvT3f3XVVUUj,Why Don't You Get A Job,0,0.882,0.544
27,27,0,20I8RduZC2PWMWTDCZuuAN,Take Me Out,0,0.663,0.527
28,28,0,6gfDXAX85YWdVwxpbz0npv,Original Prankster,0,0.877,0.961
29,29,0,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,0,0.345,0.458
30,30,0,1feH81BVs89SplmcJzuh1F,Slim Pickens Does The Right Thing And Rides The Bomb To Hell,0,0.983,0.62
31,31,0,6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,0,0.97,0.689
32,32,0,0vQPY1VCcvZa2Mm6QM63Le,Gotta Get Away,0,0.826,0.796
33,33,0,4VqPOruhp5EdPBeR92t6lQ,Uprising,0,0.905,0.411
34,34,0,4K20nocu6gubbWYiuCR23K,Can't Repeat,0,0.863,0.609
35,35,0,48UPSzbZjgc449aqz8bxox,Californication,0,0.767,0.328
36,36,0,6LGeOxAohAJTZ0fxKXMqXa,Hammerhead,0,0.953,0.526
37,37,0,6imjJij6aCM0IbbODUzJQn,Kickstart My Heart,0,0.977,0.233
38,38,0,0D2A4Rid7gnlcwlspLTkx0,Staring At The Sun,0,0.952,0.729
39,39,0,0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance",0,0.961,0.449
40,40,0,6tNeHmedp9qo3BsBp5zOPe,Million Miles Away,0,0.936,0.651
41,41,0,5FZxsHWIvUsmSK1IAvm2pp,Best of You,0,0.94,0.369
42,42,0,0FLmCEO4OccwwiHxveEpt1,Coming For You,0,0.913,0.533
43,43,0,1f2V8U1BiWaC9aJWmpOARe,By the Way,0,0.97,0.198
44,44,0,5tFzUj1jV09bo4wBQWSbDl,Bad Habit,0,0.73,0.383
45,45,0,1Dr1fXbc2IxaK1Mu8P8Khz,When I Come Around,0,0.909,0.814
46,46,0,5VBVIcMh6CWy8szP3U0Ttp,Defy You,0,0.841,0.669
47,47,0,5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,0,0.919,0.537
48,48,0,2BWt8ozzFptUlrnCilgK6l,Dividing By Zero,0,0.937,0.376
49,49,0,60a0Rd6pjrkxjPbaKzXjfq,In the End,0,0.864,0.4
50,50,0,2tPy8C6z3eUWGC1iQr4ysZ,Adhd,0,0.849,0.667
51,51,0,2gTdDMpNxIRFSiu7HutMCg,I Think I'm OKAY (with YUNGBLUD & Travis Barker),0,0.744,0.277
52,52,0,01VbCa15MmvNg3KMOfoHa2,Loser,0,0.894,0.65
53,53,0,7bEDDsy2LFC0KSqhZp5nPE,Sweet Disaster,0,0.821,0.425
54,54,0,0tyR7Bu9P086aWBFZ4QJoo,Monsters (feat. blackbear),0,0.845,0.782
55,55,0,1N7Aep1OewK9diaN9WbuuR,Stupid for You,0,0.922,0.596
