,key,energy,valence
0,0,0.849,0.667
0,1,0.803,0.435
0,2,0.784,0.38
0,3,0.378,0.497
0,4,0.852,0.558
0,5,0.801,0.248
0,6,0.894,0.696
0,7,0.787,0.289
0,8,0.776,0.267
0,9,0.856,0.707
0,10,0.927,0.719
0,11,0.833,0.598
0,12,0.941,0.405
0,13,0.866,0.38
0,14,0.191,0.0684
0,15,0.687,0.652
0,16,0.951,0.139
0,17,0.917,0.601
0,18,0.899,0.566
0,19,0.806,0.561
0,20,0.823,0.569
0,21,0.725,0.397
0,22,0.766,0.473
0,23,0.945,0.14
0,24,0.709,0.559
0,25,0.455,0.561
0,26,0.903,0.497
0,27,0.332,0.778
0,28,0.829,0.747
0,29,0.713,0.741
0,30,0.799,0.627
0,31,0.849,0.667
0,32,0.849,0.667
0,33,0.803,0.435
0,34,0.803,0.435
0,35,0.784,0.38
0,36,0.784,0.38
0,37,0.378,0.497
0,38,0.378,0.497
0,39,0.852,0.558
0,40,0.852,0.558
0,41,0.801,0.248
0,42,0.801,0.248
0,43,0.894,0.696
0,44,0.894,0.696
0,45,0.787,0.289
0,46,0.787,0.289
0,47,0.776,0.267
0,48,0.776,0.267
0,49,0.856,0.707
0,0,0.856,0.707
0,1,0.927,0.719
0,2,0.927,0.719
0,3,0.833,0.598
0,4,0.833,0.598
0,5,0.941,0.405
0,6,0.941,0.405
0,7,0.866,0.38
0,8,0.866,0.38
0,9,0.191,0.0684
0,10,0.191,0.0684
0,11,0.687,0.652
0,12,0.687,0.652
0,13,0.951,0.139
0,14,0.951,0.139
0,15,0.917,0.601
0,16,0.917,0.601
0,17,0.899,0.566
0,18,0.899,0.566
0,19,0.806,0.561
0,20,0.806,0.561
0,21,0.823,0.569
0,22,0.823,0.569
0,23,0.725,0.397
0,24,0.725,0.397
0,25,0.766,0.473
0,26,0.766,0.473
0,27,0.945,0.14
0,28,0.945,0.14
0,29,0.709,0.559
0,30,0.709,0.559
0,31,0.455,0.561
0,32,0.455,0.561
0,33,0.903,0.497
0,34,0.903,0.497
0,35,0.332,0.778
0,36,0.332,0.778
0,37,0.829,0.747
0,38,0.829,0.747
0,39,0.713,0.741
0,40,0.713,0.741
0,41,0.799,0.627
0,42,0.799,0.627
0,43,0.722,0.369
0,44,0.849,0.667
0,45,0.803,0.435
0,46,0.784,0.38
0,47,0.378,0.497
0,48,0.852,0.558
0,49,0.801,0.248
0,0,0.894,0.696
0,1,0.787,0.289
0,2,0.776,0.267
0,3,0.856,0.707
0,4,0.927,0.719
0,5,0.833,0.598
0,6,0.941,0.405
0,7,0.866,0.38
0,8,0.191,0.0684
0,9,0.687,0.652
0,10,0.951,0.139
0,11,0.917,0.601
0,12,0.899,0.566
0,13,0.806,0.561
0,14,0.823,0.569
0,15,0.725,0.397
0,16,0.766,0.473
0,17,0.945,0.14
0,18,0.709,0.559
0,19,0.455,0.561
0,20,0.903,0.497
0,21,0.332,0.778
0,22,0.829,0.747
0,23,0.713,0.741
0,24,0.799,0.627
0,25,0.722,0.369
0,26,0.849,0.667
0,27,0.849,0.667
0,28,0.849,0.667
0,29,0.849,0.667
0,30,0.803,0.435
0,31,0.803,0.435
0,32,0.803,0.435
0,33,0.803,0.435
0,34,0.784,0.38
0,35,0.784,0.38
0,36,0.784,0.38
0,37,0.784,0.38
0,38,0.378,0.497
0,39,0.378,0.497
0,40,0.378,0.497
0,41,0.378,0.497
0,42,0.852,0.558
0,43,0.852,0.558
0,44,0.852,0.558
0,45,0.852,0.558
0,46,0.801,0.248
0,47,0.801,0.248
0,48,0.801,0.248
0,49,0.801,0.248
0,0,0.894,0.696
0,1,0.894,0.696
0,2,0.894,0.696
0,3,0.894,0.696
0,4,0.787,0.289
0,5,0.787,0.289
0,6,0.787,0.289
0,7,0.787,0.289
0,8,0.776,0.267
0,9,0.776,0.267
0,10,0.776,0.267
0,11,0.776,0.267
0,12,0.856,0.707
0,13,0.856,0.707
0,14,0.856,0.707
0,15,0.856,0.707
0,16,0.927,0.719
0,17,0.927,0.719
