,level_0,index,energy,valence
0,0,0,0.917,0.601
1,1,0,0.446,0.278
2,2,0,0.912,0.72
3,3,0,0.943,0.766
4,4,0,0.943,0.781
5,5,0,0.862,0.706
6,6,0,0.881,0.364
7,7,0,0.814,0.646
8,8,0,0.987,0.316
9,9,0,0.649,0.312
10,10,0,0.945,0.294
11,11,0,0.857,0.856
12,12,0,0.966,0.614
13,13,0,0.884,0.624
14,14,0,0.895,0.963
15,15,0,0.897,0.684
16,16,0,0.77,0.921
17,17,0,0.934,0.287
18,18,0,0.809,0.962
19,19,0,0.98,0.395
20,20,0,0.918,0.402
21,21,0,0.89,0.692
22,22,0,0.973,0.565
23,23,0,0.849,0.903
24,24,0,0.976,0.603
25,25,0,0.967,0.596
26,26,0,0.882,0.544
27,27,0,0.663,0.527
28,28,0,0.877,0.961
29,29,0,0.345,0.458
30,30,0,0.983,0.62
31,31,0,0.97,0.689
32,32,0,0.826,0.796
33,33,0,0.905,0.411
34,34,0,0.863,0.609
35,35,0,0.767,0.328
36,36,0,0.953,0.526
37,37,0,0.977,0.233
38,38,0,0.952,0.729
39,39,0,0.961,0.449
40,40,0,0.936,0.651
41,41,0,0.94,0.369
42,42,0,0.913,0.533
43,43,0,0.97,0.198
44,44,0,0.73,0.383
45,45,0,0.909,0.814
46,46,0,0.841,0.669
47,47,0,0.919,0.537
48,48,0,0.937,0.376
49,49,0,0.864,0.4
50,50,0,0.849,0.667
51,51,0,0.744,0.277
52,52,0,0.894,0.65
53,53,0,0.821,0.425
54,54,0,0.845,0.782
55,55,0,0.922,0.596
56,56,0,0.713,0.729
57,57,0,0.842,0.198
58,58,0,0.924,0.434
59,59,0,0.945,0.427
60,60,0,0.859,0.748
61,61,0,0.975,0.777
62,62,0,0.675,0.545
63,63,0,0.882,0.663
64,64,0,0.955,0.391
65,65,0,0.981,0.765
66,66,0,0.902,0.753
67,67,0,0.893,0.737
68,68,0,0.833,0.705
69,69,0,0.678,0.134
70,70,0,0.81,0.874
71,71,0,0.885,0.344
72,72,0,0.929,0.649
73,73,0,0.785,0.665
74,74,0,0.948,0.693
75,75,0,0.827,0.746
76,76,0,0.779,0.588
77,77,0,0.591,0.258
78,78,0,0.849,0.31
79,79,0,0.85,0.467
80,80,0,0.921,0.603
81,81,0,0.802,0.735
82,82,0,0.889,0.539
83,83,0,0.792,0.627
84,84,0,0.926,0.783
85,85,0,0.86,0.261
86,86,0,0.53,0.358
87,87,0,0.743,0.751
88,88,0,0.913,0.434
89,89,0,0.824,0.586
90,90,0,0.817,0.506
91,91,0,0.757,0.462
92,92,0,0.875,0.522
93,93,0,0.732,0.387
94,94,0,0.952,0.686
95,95,0,0.911,0.429
96,96,0,0.825,0.412
97,97,0,0.642,0.37
98,98,0,0.895,0.59
99,99,0,0.827,0.966
100,100,0,0.819,0.525
101,101,0,0.795,0.414
102,102,0,0.938,0.444
103,103,0,0.657,0.79
104,104,0,0.926,0.565
105,105,0,0.858,0.31
106,106,0,0.636,0.124
107,107,0,0.85,0.275
108,108,0,0.905,0.606
109,109,0,0.868,0.482
110,110,0,0.673,0.174
111,111,0,0.694,0.442
112,112,0,0.932,0.464
113,113,0,0.904,0.651
114,114,0,0.843,0.732
115,115,0,0.631,0.194
116,116,0,0.619,0.483
117,117,0,0.841,0.407
118,118,0,0.836,0.715
119,119,0,0.931,0.588
120,120,0,0.924,0.567
121,121,0,0.753,0.478
122,122,0,0.907,0.434
123,123,0,0.767,0.59
124,124,0,0.939,0.467
125,125,0,0.786,0.4
126,126,0,0.854,0.495
127,127,0,0.834,0.363
128,128,0,0.753,0.284
129,129,0,0.925,0.788
130,130,0,0.815,0.549
131,131,0,0.936,0.761
132,132,0,0.937,0.427
133,133,0,0.682,0.474
134,134,0,0.93,0.515
135,135,0,0.83,0.707
136,136,0,0.684,0.506
137,137,0,0.739,0.434
138,138,0,0.881,0.359
139,139,0,0.707,0.298
140,140,0,0.902,0.692
141,141,0,0.921,0.626
142,142,0,0.787,0.388
143,143,0,0.939,0.529
144,144,0,0.83,0.609
145,145,0,0.803,0.624
146,146,0,0.85,0.583
147,147,0,0.819,0.762
148,148,0,0.751,0.472
149,149,0,0.776,0.267
150,150,0,0.93,0.482
151,151,0,0.767,0.595
152,152,0,0.833,0.598
153,153,0,0.562,0.318
154,154,0,0.674,0.21
155,155,0,0.687,0.652
156,156,0,0.873,0.842
157,157,0,0.927,0.719
158,158,0,0.767,0.581
159,159,0,0.801,0.248
160,160,0,0.785,0.386
161,161,0,0.887,0.429
162,162,0,0.804,0.64
163,163,0,0.874,0.747
164,164,0,0.856,0.712
165,165,0,0.483,0.77
166,166,0,0.774,0.909
167,167,0,0.76,0.592
168,168,0,0.817,0.429
169,169,0,0.652,0.222
170,170,0,0.787,0.289
171,171,0,0.908,0.868
172,172,0,0.643,0.491
173,173,0,0.874,0.712
174,174,0,0.814,0.309
175,175,0,0.718,0.298
176,176,0,0.577,0.501
177,177,0,0.92,0.226
178,178,0,0.862,0.64
179,179,0,0.683,0.775
180,180,0,0.896,0.338
181,181,0,0.702,0.608
182,182,0,0.706,0.422
183,183,0,0.577,0.589
184,184,0,0.889,0.616
185,185,0,0.891,0.628
186,186,0,0.924,0.46
187,187,0,0.491,0.537
188,188,0,0.678,0.192
189,189,0,0.534,0.34
190,190,0,0.677,0.594
191,191,0,0.598,0.493
192,192,0,0.6,0.694
193,193,0,0.972,0.638
194,194,0,0.928,0.415
195,195,0,0.888,0.108
196,196,0,0.548,0.35
197,197,0,0.65,0.647
198,198,0,0.719,0.575
199,199,0,0.951,0.214
200,200,0,0.916,0.803
201,201,0,0.995,0.448
202,202,0,0.634,0.467
203,203,0,0.5,0.467
204,204,0,0.803,0.435
205,205,0,0.68,0.415
206,206,0,0.846,0.236
207,207,0,0.848,0.476
208,208,0,0.564,0.219
209,209,0,0.469,0.37
210,210,0,0.84,0.133
211,211,0,0.839,0.118
212,212,0,0.832,0.638
213,213,0,0.845,0.783
214,214,0,0.75,0.331
215,215,0,0.652,0.412
216,216,0,0.902,0.543
217,217,0,0.76,0.786
218,218,0,0.717,0.176
219,219,0,0.649,0.742
220,220,0,0.886,0.523
221,221,0,0.776,0.559
222,222,0,0.572,0.484
223,223,0,0.787,0.351
224,224,0,0.887,0.753
225,225,0,0.848,0.588
226,226,0,0.712,0.437
227,227,0,0.654,0.237
228,228,0,0.921,0.663
229,229,0,0.825,0.656
230,230,0,0.483,0.448
231,231,0,0.874,0.482
232,232,0,0.784,0.38
