,level_0,index,song_id,name
0,0,0,6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid"
1,1,0,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army
2,2,0,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit
3,3,0,4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright
4,4,0,6L89mwZXSOwYl76YXfX13s,Basket Case
5,5,0,1FkoVC85Ds3mFoK0fVqEqP,Self Esteem
6,6,0,5UWwZ5lm5PKu6eKsHAGxOk,Everlong
7,7,0,1qYcHo4wiesUC2VIRch45G,(Can't Get My) Head Around You
8,8,0,0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle
9,9,0,7EZC6E7UjZe63f1jRmkWxt,Zombie
10,10,0,5BnFZLH99sYav2cxJFGO2n,Gone Away - 1997
11,11,0,7j31rVgGX9Q2blT92VBEA0,Teenagers
12,12,0,6hwQ69v7VbPhTTR2fOtYX7,Want You Bad
13,13,0,5cZqsjVs6MevCnAkasbEOX,Break Stuff
14,14,0,3SFXsFpeGmBTtQvKiwYMDA,Pretty Fly (For A White Guy)
15,15,0,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things
16,16,0,5JJDu0Z5DKe7mR31MGksSg,Come Out and Play
17,17,0,2DlHlPMa4M17kufBvI2lEN,Chop Suey!
18,18,0,3lfmqF0ULXRHlWxBeaHo3t,Hit That
19,19,0,6eN1f9KNmiWEhpE2RhQqB5,Paradise City
20,20,0,7xm8RWCCBYvEVx1VyErDa3,Half-Truism
21,21,0,5W8YXBz9MTIDyrpYaCg2Ky,Last Resort
22,22,0,717oSBYrcR8awQgUsmyE32,All I Want
23,23,0,6GG73Jik4jUlQCkKg9JuGO,The Middle
24,24,0,0O2UONKvVfdwDyefKh5Yo1,Let The Bad Times Roll
25,25,0,0UFDKFqW2oGspYeYqo9wjA,Bleed It Out
26,26,0,0sNKiz82ATCvT3f3XVVUUj,Why Don't You Get A Job
27,27,0,20I8RduZC2PWMWTDCZuuAN,Take Me Out
28,28,0,6gfDXAX85YWdVwxpbz0npv,Original Prankster
29,29,0,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge
30,30,0,1feH81BVs89SplmcJzuh1F,Slim Pickens Does The Right Thing And Rides The Bomb To Hell
31,31,0,6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me
32,32,0,0vQPY1VCcvZa2Mm6QM63Le,Gotta Get Away
33,33,0,4VqPOruhp5EdPBeR92t6lQ,Uprising
34,34,0,4K20nocu6gubbWYiuCR23K,Can't Repeat
35,35,0,48UPSzbZjgc449aqz8bxox,Californication
36,36,0,6LGeOxAohAJTZ0fxKXMqXa,Hammerhead
37,37,0,6imjJij6aCM0IbbODUzJQn,Kickstart My Heart
38,38,0,0D2A4Rid7gnlcwlspLTkx0,Staring At The Sun
39,39,0,0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance"
40,40,0,6tNeHmedp9qo3BsBp5zOPe,Million Miles Away
41,41,0,5FZxsHWIvUsmSK1IAvm2pp,Best of You
42,42,0,0FLmCEO4OccwwiHxveEpt1,Coming For You
43,43,0,1f2V8U1BiWaC9aJWmpOARe,By the Way
44,44,0,5tFzUj1jV09bo4wBQWSbDl,Bad Habit
45,45,0,1Dr1fXbc2IxaK1Mu8P8Khz,When I Come Around
46,46,0,5VBVIcMh6CWy8szP3U0Ttp,Defy You
47,47,0,5OQsiBsky2k2kDKy2bX2eT,Learn to Fly
48,48,0,2BWt8ozzFptUlrnCilgK6l,Dividing By Zero
49,49,0,60a0Rd6pjrkxjPbaKzXjfq,In the End
50,50,0,2tPy8C6z3eUWGC1iQr4ysZ,Adhd
51,51,0,2gTdDMpNxIRFSiu7HutMCg,I Think I'm OKAY (with YUNGBLUD & Travis Barker)
52,52,0,01VbCa15MmvNg3KMOfoHa2,Loser
53,53,0,7bEDDsy2LFC0KSqhZp5nPE,Sweet Disaster
54,54,0,0tyR7Bu9P086aWBFZ4QJoo,Monsters (feat. blackbear)
55,55,0,1N7Aep1OewK9diaN9WbuuR,Stupid for You
56,56,0,2FhzneTjsV0HR4lXNJTTyI,hurt less
57,57,0,3vlJKLtoumQmNBnj2ZlJe4,Open Arms
58,58,0,5PNzt1Rvt7PUVaGhbq0OVt,Any Other Way
59,59,0,5jsDxDkJ1PqyYUWhDMr86B,Song #3
60,60,0,6wNCdMW82LwJgFrnGqLhpJ,The Ghosts of Beverly Drive
61,61,0,0HjPEb23QO6cGqYfdQVd3K,La La Lainey
62,62,0,7uCBGNn991AM68fR4tSDco,Born For This
63,63,0,0Z1pAncHr1Y9hf3Cu3G0iR,Rockstar
64,64,0,1GIofMbTz83fXqNrEuf4bA,hot girl bummer
65,65,0,50oS45iNMFp7pKIQRAWIUP,Kids In The Dark
66,66,0,0ne8iNLplH15M6EtgzPkf0,Alone Sometimes
67,67,0,7CkeYEfGBL8SYAq63Z72oh,I Wanna Be Your High
68,68,0,1WMBlpjhd3AUQiNfJOzfIl,Songs I Can't Listen To
69,69,0,3CrsuTJomWZmeXIvKhV45l,Stronger
70,70,0,2Rmw7J0krEU75ffhkaK93D,I Miss Having Sex But At Least I Don't Wanna Die Anymore
71,71,0,3zjjzKg16tczCMwckGKGuH,Happy Pills
72,72,0,13b32GfUIo3BV93C8KtEdj,We Don't Have To Dance
73,73,0,5RmGKBLOYl9hbNE7BuDmur,California
74,74,0,0x2TYePnFyfZ9ajY2WMkby,Killer In The Mirror
75,75,0,2tnk7NUXUCcX326HqfokB6,Bipolar Baby!
76,76,0,4pi7qRGw2DDKAJMGHGcZ2O,"deathwish (feat. nothing,nowhere.)"
77,77,0,75nfWESNoYX9X7c82l9Rtk,Scumbag (feat. blink-182)
78,78,0,6pO9pxKxrIHuTRqK7VLP8B,fake friend
79,79,0,3WG3wFBe9NgkWB1mNGE6fJ,Untraveled Road
80,80,0,7qCzenL7S1onPt6QdRsDsd,Into The Dark (feat. Kellin Quinn)
81,81,0,3zRrr0SS4saZOfihrSvlqy,Big Cat Judgement Day
82,82,0,5Xr1q4GLTnNZu6c4K9rsNh,Candy Coated Lie$
83,83,0,0UhWFmdlrBSmZ7A6bFD8L9,C'est la vie
84,84,0,0UD6mo4q4YiH5GnSfvNNP5,Back In School
85,85,0,0criiQKIY1hyU0lRbVhZ8L,Monster
86,86,0,7D5STxidHF2Lt5lRL5iCZW,Everyone's a Secret
87,87,0,0bP8VDZQ3eXgHofaXT88Cr,Moving Boxes
88,88,0,4ELpTiWFYUgFBzrjqt5Q8e,nightmare
89,89,0,5v4OkFH0TJ6W1hCFxyn0px,parents
90,90,0,2DgdHcjWmO3qd50RzuBLgZ,House of Memories
91,91,0,3SWqGa1J0M7hSBUDM0KePD,Legend
92,92,0,1VSuFS7PahCN3SWbOcQ98m,forget me too (feat. Halsey)
93,93,0,4nvGIQPgLnWWJUJrnRsIOX,gfy (with Machine Gun Kelly)
94,94,0,1nonPxrZoz42XGsKtLo3mg,1 Last Cigarette
95,95,0,2Qjkvp4GLlL60lFXtEte0X,Once In A Lifetime
96,96,0,7vXtuHrqgzQi58ihUO7L2d,Karma
97,97,0,1IflC51n9KG5JJh5sHVU1D,"Don't Freak Out (feat. iann dior, Tyson Ritter & Travis Barker)"
